
	carbon	oxygen	iron	nitrogen
GCF_000418325.1	4.043	6.966	4.246	7.322	16.998
GCF_000418365.1	-2.617	1.014	3.759	2.161	9.223
GCF_000422085.1	2.038	5.614	3.652	5.993	15.398
GCF_000439435.1	-0.575	-0.205	0.087	0.218	0.260
GCF_000439455.1	-0.644	-0.042	0.087	0.218	0.142
GCF_000441535.1	-0.755	0.215	1.268	0.810	2.577
GCF_000441555.1	0.704	2.508	2.002	0.825	6.290
GCF_000442435.1	-0.941	7.829	6.336	3.792	17.728
GCF_000442645.1	-0.015	0.395	3.465	2.533	10.765
GCF_000444875.1	0.856	3.469	3.645	2.849	15.931
GCF_000444995.1	-0.022	2.883	3.842	3.629	15.539
GCF_000445425.4	-0.802	0.087	0.438	0.069	0.553
GCF_000445995.2	2.424	4.111	3.045	4.236	14.320
GCF_000446015.1	6.627	8.250	-0.432	0.534	6.805
GCF_000447675.1	0.433	-0.067	0.301	0.865	4.865
GCF_000452705.1	-0.879	3.573	3.251	2.337	14.556
GCF_000455605.1	-0.634	0.204	1.837	3.508	9.101
GCF_000463015.1	-0.127	14.562	4.516	3.807	16.287
GCF_000463395.1	-1.784	-0.853	-0.044	0.158	1.392
GCF_000463465.1	-1.336	-1.130	-0.210	0.952	1.549
GCF_000463505.1	-1.484	-0.716	0.557	-0.157	2.009
GCF_000465235.1	5.351	3.823	2.484	7.412	11.808
GCF_000468615.2	-0.371	1.051	3.574	5.386	11.578
GCF_000470655.1	2.290	9.605	2.761	3.519	10.770
GCF_000470775.1	-2.954	-1.811	2.401	4.026	7.433
GCF_000471025.2	-0.384	-0.902	0.221	0.590	1.445
GCF_000471925.1	1.308	3.696	4.448	7.524	17.125
GCF_000473245.1	2.006	3.371	3.983	3.461	13.580
GCF_000473305.1	1.615	3.264	-0.006	2.813	6.978
GCF_000473995.1	1.756	11.053	1.415	1.730	7.443
GCF_000477415.1	-0.043	-0.153	0.010	-0.082	0.139
GCF_000477435.1	2.535	3.680	2.408	1.251	8.774
GCF_000478825.2	3.954	8.514	7.640	3.777	15.064
GCF_000478885.1	5.011	6.198	-0.066	3.621	7.885
GCF_000478905.1	2.482	4.963	2.056	0.647	7.647
GCF_000479315.1	-1.152	-0.486	0.266	0.016	1.808
GCF_000484535.1	2.271	8.096	6.389	3.219	16.083
GCF_000485905.1	1.769	3.964	5.131	3.600	13.634
GCF_000494755.1	1.987	2.378	3.565	2.738	15.974
GCF_000494915.1	-0.266	3.898	3.742	3.884	15.000
GCF_000495505.1	4.218	4.846	2.360	8.183	11.947
GCF_000495935.2	-0.207	2.331	2.781	2.529	12.138
GCF_000496595.1	0.158	1.035	1.615	0.688	6.849
GCF_000496635.1	-2.063	-0.650	2.609	3.489	7.603
GCF_000498975.2	1.132	3.114	3.742	5.044	15.191
GCF_000499645.1	-2.069	4.348	6.325	7.639	17.728
GCF_000499665.2	0.364	1.252	1.704	3.934	6.489
GCF_000499765.1	5.873	74.462	4.229	0.596	9.301
GCF_000500935.1	-0.628	0.165	0.387	0.137	0.615
GCF_000503895.1	0.496	15.968	3.795	7.993	16.163
GCF_000504105.1	3.009	1.793	0.241	0.536	4.411
GCF_000504125.1	-0.046	0.180	1.306	0.012	2.445
GCF_000507245.1	-0.869	3.910	0.504	1.919	7.322
GCF_000508205.1	1.145	3.790	3.514	5.507	16.481
GCF_000508225.1	0.533	2.017	1.875	3.665	7.244
GCF_000508245.1	-0.043	0.121	0.156	-0.082	0.120
GCF_000510265.1	-0.420	2.318	2.419	3.207	7.641
GCF_000511305.1	0.313	2.206	3.655	2.502	14.637
GCF_000511355.1	1.543	4.698	3.475	6.408	16.297
GCF_000511385.1	1.703	5.172	3.757	3.580	15.183
GCF_000511405.1	3.381	5.065	4.594	4.133	13.015
GCF_000512125.1	2.720	6.341	2.241	6.187	14.389
GCF_000512185.1	2.052	5.565	2.911	8.554	14.905
GCF_000512205.2	-1.133	7.275	5.975	7.018	17.273
GCF_000512355.1	0.844	2.365	1.827	3.451	10.558
GCF_000512735.1	6.715	5.828	3.951	7.246	13.314
GCF_000512895.1	4.784	13.796	1.173	1.637	8.917
GCF_000512915.1	0.928	6.193	0.736	0.966	8.021
GCF_000513295.1	5.834	5.806	6.268	8.785	17.102
GCF_000513475.1	2.183	0.563	0.535	0.114	0.695
GCF_000517305.1	-1.100	3.435	2.932	6.004	14.837
GCF_000517365.1	-0.683	-0.180	0.233	1.012	0.704
GCF_000517405.1	1.366	2.850	1.639	1.875	8.696
GCF_000517445.1	7.537	9.735	-0.227	0.609	6.648
GCF_000517565.1	5.540	8.497	1.357	5.843	11.182
GCF_000517605.1	-1.660	6.886	6.339	6.321	17.591
GCF_000517625.1	1.179	9.687	3.463	1.587	13.756
GCF_000520015.2	1.328	5.479	2.877	6.754	15.298
GCF_000520875.1	-2.139	3.540	6.259	6.199	17.829
GCF_000521505.1	-0.570	6.947	3.806	4.856	15.699
GCF_000521525.1	2.167	2.729	2.584	1.119	7.216
GCF_000521605.1	1.672	2.395	0.859	4.732	7.201
GCF_000521655.1	2.228	3.450	0.851	4.732	7.408
GCF_000522545.2	-1.608	15.419	4.502	4.699	17.036
GCF_000523235.1	-0.249	3.708	4.465	2.849	15.937
GCF_000524555.1	-0.842	-0.391	0.010	-0.177	-0.115
GCF_000525635.1	0.402	3.173	3.644	2.241	16.521
GCF_000525655.1	-2.743	0.578	3.612	3.327	9.579
GCF_000525675.1	-0.097	0.292	1.204	4.105	9.839
GCF_000550765.1	0.768	2.534	3.470	7.431	14.186
GCF_000550785.1	-0.111	0.969	3.946	2.889	9.959
GCF_000550805.1	1.055	2.478	5.003	3.281	10.916
GCF_000565175.1	-0.819	-0.350	0.383	0.218	0.323
GCF_000565215.1	-0.696	-0.205	0.087	0.218	0.260
GCF_000568815.1	6.134	7.968	6.022	8.062	15.061
GCF_000576555.1	-1.056	2.514	4.122	5.136	13.663
GCF_000577275.1	-1.212	2.381	3.553	7.578	16.237
GCF_000577895.1	-1.440	6.530	4.813	0.942	8.603
GCF_000583875.1	-0.384	-0.769	0.065	0.590	1.289
GCF_000585495.1	5.440	9.236	-0.423	0.223	6.430
GCF_000585995.1	1.425	3.836	3.231	7.425	16.374
GCF_000590455.1	1.111	0.472	3.713	3.552	11.588
GCF_000590475.1	0.521	3.666	4.456	7.226	15.853
GCF_000590495.2	1.290	3.743	3.434	6.075	16.446
GCF_000590555.1	-2.965	-2.077	2.661	2.502	7.000
GCF_000590925.1	2.271	5.270	6.067	4.760	15.465
GCF_000591055.1	0.331	5.654	4.069	1.998	12.719
GCF_000597865.1	4.520	5.559	0.775	0.464	8.439
GCF_000597885.1	-0.457	2.346	3.393	5.310	13.831
GCF_000599545.1	-0.548	6.463	3.646	2.418	15.968
GCF_000599985.1	3.693	3.684	2.253	2.113	8.177
GCF_000600005.1	1.319	4.935	3.558	1.219	11.353
GCF_000600105.1	2.911	3.875	2.403	4.578	10.790
GCF_000612055.1	0.136	0.426	-0.333	0.725	7.377
GCF_000612505.1	4.220	6.567	6.350	3.990	13.894
GCF_000612685.1	-0.035	7.933	3.424	4.090	15.171
GCF_000619905.2	0.006	1.878	3.259	7.280	14.731
GCF_000626635.1	-0.057	2.767	3.482	6.015	10.252
GCF_000626675.1	-3.359	0.440	3.542	2.215	10.128
GCF_000632395.1	1.901	5.848	2.142	2.094	13.730
GCF_000632475.1	1.668	15.843	6.212	8.570	18.159
GCF_000632805.1	0.837	3.785	2.756	9.045	16.292
GCF_000632845.1	0.533	1.855	1.842	3.665	7.228
GCF_000632985.1	0.642	0.664	1.157	3.927	7.385
GCF_000635915.2	-1.407	1.232	0.725	4.052	10.065
GCF_000648515.1	2.084	4.243	1.477	6.187	14.389
GCF_000661895.1	4.070	4.777	3.953	1.506	13.425
GCF_000689415.1	1.939	3.950	3.611	7.955	15.822
GCF_000691605.1	-0.084	0.450	1.174	6.260	11.388
GCF_000695235.1	0.494	6.975	4.262	2.093	15.727
GCF_000695835.1	-1.068	-0.391	0.010	0.188	-0.171
GCF_000696485.1	1.688	1.885	3.562	5.315	13.950
GCF_000697965.2	-1.672	4.562	3.565	8.309	16.910
GCF_000698845.1	-0.605	7.829	6.336	4.148	18.169
GCF_000698865.1	1.512	3.485	4.216	4.381	15.950
GCF_000699505.1	-2.177	-0.053	3.474	3.085	7.322
GCF_000701165.1	-0.463	5.079	4.190	4.703	16.269
GCF_000706685.1	1.637	0.829	2.480	1.950	9.065
GCF_000706725.1	0.271	1.666	4.503	3.552	10.655
GCF_000706765.1	0.859	0.101	1.788	0.007	3.931
GCF_000709555.1	0.934	0.376	1.235	3.658	1.681
GCF_000723165.1	-1.007	3.641	3.722	5.358	16.480
GCF_000723465.1	2.248	6.488	4.935	0.693	6.076
GCF_000723505.1	1.221	2.044	-0.196	3.163	5.392
GCF_000724485.1	1.502	3.869	3.812	4.320	13.640
GCF_000724505.1	1.773	5.848	2.142	1.972	13.730
GCF_000724605.1	-1.432	-0.146	-0.269	0.734	3.736
GCF_000724625.1	-0.882	6.955	3.236	4.883	14.629
GCF_000724775.3	1.226	1.628	2.240	4.026	11.275
GCF_000725285.1	0.350	-0.175	2.512	3.457	10.721
GCF_000725345.1	3.368	8.023	3.136	4.619	13.176
GCF_000725365.1	-2.800	1.071	2.762	1.982	7.424
GCF_000725385.1	1.309	3.670	2.773	7.888	15.384
GCF_000725405.1	-0.013	2.211	3.569	3.583	13.022
GCF_000725425.1	8.167	7.745	-0.458	0.473	6.689
GCF_000730245.1	-0.047	1.605	1.803	4.212	7.116
GCF_000730385.1	0.335	3.707	3.944	6.565	12.447
GCF_000730425.1	0.152	3.277	3.516	6.413	15.904
GCF_000731295.1	-1.356	5.968	6.448	3.965	17.569
GCF_000732905.1	-1.525	1.149	0.810	-0.350	1.387
GCF_000732945.1	0.767	0.216	2.383	3.344	8.266
GCF_000734015.1	10.477	13.403	2.145	5.540	10.083
GCF_000734895.2	3.177	11.062	6.983	3.767	17.596
GCF_000734975.2	1.545	3.325	3.611	4.218	14.822
GCF_000736415.1	5.582	4.657	2.505	7.925	11.585
GCF_000737325.1	-0.997	1.936	3.672	4.841	14.040
GCF_000737515.1	-1.042	1.266	2.929	5.217	13.453
GCF_000737535.1	2.389	4.029	7.540	4.291	14.046
GCF_000737575.1	1.908	4.494	8.576	3.497	13.804
GCF_000737595.1	2.268	4.866	8.798	3.421	13.813
GCF_000738435.1	2.857	6.909	6.257	4.038	15.901
GCF_000739065.1	7.504	76.666	4.981	0.347	8.153
GCF_000739085.1	0.244	2.416	3.410	2.241	15.838
GCF_000739105.1	-0.430	2.079	3.373	2.718	14.973
GCF_000739375.1	1.101	3.774	3.427	5.671	16.009
GCF_000739435.1	2.125	2.787	1.380	4.660	8.167
GCF_000739455.1	-0.249	-1.137	3.464	3.327	10.404
GCF_000742835.1	-0.981	0.157	0.160	3.935	8.138
GCF_000742855.1	2.570	4.174	3.786	3.668	14.093
GCF_000743945.1	1.353	3.508	2.315	3.165	10.303
GCF_000746525.1	0.621	4.042	2.674	7.497	15.640
GCF_000746585.1	-0.056	1.764	1.417	3.740	7.660
GCF_000747315.1	-1.962	-0.940	4.497	2.889	8.597
GCF_000747345.1	2.939	3.709	2.832	3.288	12.536
GCF_000747525.1	-0.038	2.875	4.117	5.634	12.593
GCF_000754265.1	3.177	1.307	2.525	0.979	6.905
GCF_000755145.1	0.152	1.151	0.107	0.071	3.511
GCF_000755185.1	-1.408	1.327	3.723	3.428	9.397
GCF_000755585.2	-2.303	0.163	3.569	2.287	12.170
GCF_000755705.1	0.331	1.990	-0.921	0.650	4.544
GCF_000755725.1	-0.397	5.040	3.311	5.425	15.667
GCF_000755985.1	-0.418	3.705	4.516	4.703	16.632
GCF_000756615.1	4.056	6.267	5.689	3.940	14.618
GCF_000756715.1	-1.150	-1.919	2.189	3.583	8.218
GCF_000756775.1	-0.268	3.898	3.742	8.007	15.209
GCF_000757785.1	1.730	4.606	1.697	5.814	14.092
GCF_000757825.1	1.286	4.367	1.446	6.560	14.350
GCF_000757845.1	2.611	6.921	7.124	3.421	11.375
GCF_000757865.1	2.684	5.276	8.378	3.421	11.138
GCF_000758265.1	0.277	4.074	3.799	7.702	16.429
GCF_000758525.1	2.670	4.693	5.453	3.848	13.122
GCF_000758545.1	1.655	2.522	3.998	3.539	9.986
GCF_000758565.1	2.168	4.565	5.635	3.895	13.464
GCF_000758625.1	2.670	4.631	5.458	3.722	14.137
GCF_000758645.1	3.611	5.326	6.115	3.597	13.798
GCF_000758665.1	0.641	4.031	5.984	3.895	13.010
GCF_000758685.1	3.661	6.273	4.977	1.734	11.023
GCF_000758705.1	2.773	7.977	5.458	3.848	13.695
GCF_000758725.1	3.448	5.170	6.495	3.539	12.479
GCF_000759475.1	-0.236	4.152	4.132	5.592	15.183
GCF_000759535.1	-0.577	2.391	2.985	5.170	14.076
GCF_000761135.1	-1.275	0.492	0.534	-0.350	1.461
GCF_000761155.1	-0.985	3.942	4.091	5.385	14.535
GCF_000761215.1	-1.679	1.728	3.772	2.718	15.396
GCF_000762265.1	4.950	73.918	4.475	0.601	8.393
GCF_000763535.1	0.675	3.051	2.876	8.077	13.365
GCF_000763575.1	5.120	11.894	2.333	0.902	7.423
GCF_000764535.1	-1.631	2.598	2.804	5.768	14.721
GCF_000764555.1	2.590	2.200	1.164	1.674	8.265
GCF_000767055.1	-0.112	0.646	4.534	2.755	9.981
GCF_000767275.2	1.005	2.730	-0.428	1.052	7.032
GCF_000767465.1	0.677	3.331	4.630	7.254	15.977
GCF_000769655.1	5.570	8.719	-0.430	-0.066	6.788
GCF_000772045.1	0.314	2.079	3.373	2.596	14.973
GCF_000772105.1	0.570	3.275	3.034	8.001	11.739
GCF_000775995.1	0.276	0.741	-0.688	0.322	2.742
GCF_000784875.1	-0.735	3.653	3.201	4.733	13.993
GCF_000784965.1	0.200	4.256	2.792	6.418	13.999
GCF_000785495.1	0.252	2.500	3.712	2.165	15.612
GCF_000785535.1	-1.603	0.014	3.825	2.553	11.501
GCF_000785555.1	-0.968	1.606	2.552	3.583	10.074
GCF_000785705.2	4.381	17.887	7.542	7.972	17.175
GCF_000786695.1	-0.901	5.784	4.299	3.857	16.054
GCF_000788395.1	-1.135	0.936	3.513	6.774	9.603
GCF_000789255.1	7.834	31.701	3.145	5.571	11.166
GCF_000789395.1	1.431	1.559	0.219	1.119	5.985
GCF_000800255.1	-0.066	2.678	3.574	3.884	14.878
GCF_000800295.1	1.420	0.154	-0.437	0.465	4.056
GCF_000800395.1	1.174	2.718	4.134	3.844	13.751
GCF_000800455.1	0.251	0.578	1.413	0.083	2.946
GCF_000800475.2	0.243	0.421	1.722	0.586	3.582
GCF_000800805.1	3.693	28.629	3.099	0.529	5.719
GCF_000800825.1	1.111	0.836	4.043	3.552	10.730
GCF_000801275.2	-0.612	2.013	3.915	8.077	12.622
GCF_000801295.1	10.713	6.503	3.047	8.025	14.549
GCF_000801315.1	-0.214	0.960	2.004	5.136	11.382
GCF_000803645.1	-0.868	2.959	3.828	7.070	14.544
GCF_000807175.1	2.816	8.990	4.068	1.608	11.389
GCF_000807225.1	-0.462	1.537	2.747	4.453	10.937
GCF_000807275.1	3.347	3.998	1.877	0.647	7.725
GCF_000807415.2	2.021	5.848	2.142	1.578	13.214
GCF_000812185.1	3.078	2.397	2.787	2.659	9.475
GCF_000812665.2	0.981	4.821	2.609	6.185	14.027
GCF_000814825.1	6.160	6.911	0.580	2.797	7.320
GCF_000815025.1	1.783	2.460	1.005	1.360	5.743
GCF_000815065.1	-0.823	-0.886	0.010	0.162	-0.171
GCF_000815185.1	-1.906	3.586	3.775	3.070	14.829
GCF_000815225.1	-0.045	1.455	1.186	1.540	7.323
GCF_000816025.1	-0.755	6.714	4.458	1.973	15.745
GCF_000816085.1	0.697	0.725	2.952	2.076	9.903
GCF_000816105.1	5.542	11.384	-0.423	-0.120	6.851
GCF_000816185.1	4.547	2.756	2.108	6.685	11.438
GCF_000816225.1	4.408	2.405	2.076	7.621	11.071
GCF_000816245.1	4.408	2.647	2.175	7.621	10.469
GCF_000816265.1	5.370	2.405	2.076	6.746	11.387
GCF_000816345.1	5.559	2.576	1.791	7.621	11.193
GCF_000816365.1	4.110	2.642	1.996	7.621	11.445
GCF_000816785.1	4.508	2.884	2.095	7.540	11.021
GCF_000816845.1	0.344	15.582	6.288	7.497	18.703
GCF_000817955.1	4.810	9.041	4.932	8.606	15.833
GCF_000817975.1	2.055	7.759	5.372	6.369	16.885
GCF_000818015.1	3.209	6.910	4.248	8.259	16.091
GCF_000818035.1	-0.585	2.227	2.260	4.029	11.597
GCF_000818095.1	-1.275	1.725	4.167	3.461	12.234
GCF_000819445.1	-3.046	-1.158	3.093	3.205	8.411
GCF_000819565.1	2.345	6.764	3.856	4.025	15.041
GCF_000827005.1	-0.781	3.317	3.521	2.145	15.232
GCF_000827125.1	4.665	6.660	1.992	7.007	11.888
GCF_000828475.1	1.590	14.435	4.014	6.398	15.618
GCF_000828515.1	2.083	3.705	2.613	0.956	7.577
GCF_000828575.1	5.760	77.748	4.741	0.438	8.605
GCF_000828615.1	8.193	4.889	3.228	8.415	14.606
GCF_000828635.1	8.049	7.563	3.206	8.078	15.124
GCF_000828655.1	3.320	2.861	0.042	0.536	4.180
GCF_000828675.1	2.732	1.886	0.128	0.536	4.502
GCF_000828715.1	-1.874	1.406	3.695	3.213	8.145
GCF_000828815.1	2.078	1.433	2.434	0.915	7.324
GCF_000828835.1	9.694	14.242	5.419	7.447	17.095
GCF_000828855.1	-0.352	-0.500	0.002	-0.177	0.139
GCF_000828895.1	1.251	4.300	3.196	3.436	14.089
GCF_000828915.1	3.057	4.546	2.986	3.558	14.085
GCF_000828975.1	4.523	5.856	6.615	5.976	16.586
GCF_000829055.1	-0.387	-0.456	0.580	0.499	2.140
GCF_000829195.1	2.049	1.635	3.367	3.461	10.128
GCF_000829235.1	4.736	5.425	7.076	3.311	10.213
GCF_000829315.1	0.387	2.171	1.784	3.704	7.141
GCF_000829375.1	-0.877	0.660	2.155	2.356	10.154
GCF_000829395.1	-2.539	-0.598	0.448	0.228	2.835
GCF_000829415.1	0.052	3.889	2.674	5.170	14.807
GCF_000829965.1	2.005	7.818	5.234	3.918	16.583
GCF_000830005.1	-0.847	3.459	4.378	2.023	15.924
GCF_000830985.1	0.782	1.498	2.271	2.181	11.451
GCF_000831005.1	-0.277	3.347	1.146	3.403	12.751
GCF_000831485.1	-2.103	-1.015	-0.763	0.810	1.327
GCF_000831645.3	-1.858	-0.254	-0.010	0.028	2.362
GCF_000832305.1	0.575	3.776	4.371	4.385	16.660
GCF_000833575.1	-0.309	-0.184	2.644	3.082	8.294
GCF_000834215.1	2.181	5.385	4.577	6.329	16.370
GCF_000834255.1	0.273	4.468	2.846	6.257	14.464
GCF_000834395.1	1.329	5.543	2.923	6.502	14.478
GCF_000834455.1	2.780	5.540	2.669	6.502	14.550
GCF_000834515.1	2.527	5.454	2.995	6.502	15.621
GCF_000835165.1	-0.510	0.983	4.679	2.411	10.068
GCF_000835205.1	-0.138	4.937	4.364	5.619	17.063
GCF_000875675.1	-2.563	-0.236	2.960	2.339	7.374
GCF_000875755.1	-0.675	-0.311	0.383	-0.035	0.100
GCF_000931445.1	-0.696	2.526	3.528	2.221	15.755
GCF_000931465.1	-0.721	3.732	4.458	5.667	15.887
GCF_000940805.1	-0.625	3.679	6.412	8.073	14.594
GCF_000940995.1	1.891	4.666	5.193	9.234	13.688
GCF_000941055.1	-0.640	0.861	3.350	3.809	9.734
GCF_000941075.1	-0.488	-0.605	0.010	-0.061	-0.115
GCF_000943805.1	0.527	6.232	3.565	7.213	16.115
GCF_000949425.1	0.312	2.325	3.978	3.848	11.395
GCF_000950575.1	-2.668	0.096	4.144	2.287	11.068
GCF_000952035.1	-0.749	3.368	4.378	2.418	16.119
GCF_000952975.1	0.294	0.564	-0.225	1.040	2.826
GCF_000953015.1	1.486	16.352	4.056	3.812	12.997
GCF_000953135.1	-1.712	0.711	1.686	6.446	11.052
GCF_000953195.1	-0.138	-0.535	0.362	-0.131	2.100
GCF_000953215.1	3.999	7.666	3.566	0.906	6.935
GCF_000953355.1	-0.174	4.365	3.440	1.970	12.803
GCF_000953435.1	1.758	1.727	0.967	1.037	6.421
GCF_000953475.1	4.758	7.111	7.017	5.111	16.890
GCF_000953535.1	-1.053	1.794	1.276	3.401	5.722
GCF_000953635.1	0.946	3.174	2.288	5.859	10.954
GCF_000953655.1	-1.533	0.549	2.323	5.286	11.685
GCF_000953695.1	0.963	3.333	2.572	8.353	10.404
GCF_000953715.1	4.249	-0.474	0.422	0.818	3.767
GCF_000953735.1	0.077	1.594	3.589	8.574	12.125
GCF_000954115.1	-1.591	1.951	4.709	2.165	15.643
GCF_000954135.1	0.387	4.211	4.364	4.312	16.664
GCF_000955665.1	-0.398	2.331	2.781	2.529	12.138
GCF_000955905.1	2.971	5.536	2.787	2.277	9.947
GCF_000956175.1	2.778	5.751	2.739	2.568	9.748
GCF_000956315.1	-0.764	-0.044	0.588	0.069	0.381
GCF_000958465.1	-3.101	-1.200	2.269	2.287	8.891
GCF_000959245.1	-1.260	4.434	3.159	5.946	16.475
GCF_000959505.1	-1.266	3.690	3.311	4.703	16.108
GCF_000960975.1	0.352	5.190	6.318	7.166	16.908
GCF_000961095.1	0.655	2.795	3.837	3.434	13.271
GCF_000961515.1	0.174	3.347	3.511	5.787	16.943
GCF_000963495.1	1.650	3.953	4.405	6.678	16.601
GCF_000963865.1	-1.332	0.666	2.985	3.715	9.748
GCF_000966445.2	0.598	0.578	1.413	0.363	2.946
GCF_000967305.2	3.628	4.207	3.630	5.152	16.414
GCF_000967425.1	-1.076	2.996	4.770	8.026	16.866
GCF_000967895.1	-0.594	1.857	4.661	8.657	13.703
GCF_000967915.1	-1.033	-0.082	-0.120	0.865	3.031
GCF_000968055.1	-0.306	0.627	0.729	-0.131	1.439
GCF_000968135.1	9.011	6.016	4.843	8.414	15.497
GCF_000968175.1	0.048	2.829	3.195	1.917	12.169
GCF_000968195.1	0.549	3.972	2.479	2.887	11.730
GCF_000968375.1	3.025	19.084	4.541	0.599	9.960
GCF_000968535.2	2.545	15.864	5.108	7.685	15.478
GCF_000969645.2	-0.381	3.605	4.525	7.116	15.277
GCF_000969885.1	5.211	78.815	4.726	1.145	10.706
GCF_000969905.1	6.000	78.828	4.800	0.429	9.924
GCF_000969965.1	5.741	78.775	4.419	2.810	11.180
GCF_000970025.1	5.687	79.143	4.467	0.041	10.605
GCF_000970045.1	5.445	78.791	4.340	2.188	11.275
GCF_000970085.1	5.151	78.995	4.730	2.655	12.069
GCF_000970265.1	5.444	78.621	5.058	2.294	10.303
GCF_000970285.1	5.320	78.987	4.777	2.944	11.891
GCF_000970305.1	5.870	78.274	5.659	0.757	11.010
GCF_000970325.1	3.811	77.072	5.306	4.539	11.765
GCF_000972245.3	1.036	2.808	3.554	3.230	13.510
GCF_000972745.1	-1.809	3.756	3.521	5.669	15.196
GCF_000972765.1	1.015	2.433	3.474	6.110	11.819
GCF_000972865.1	-1.058	6.261	2.932	6.682	14.547
GCF_000973085.1	0.240	-0.029	-0.140	-0.093	0.571
GCF_000973105.1	0.845	4.423	3.574	5.188	11.599
GCF_000973505.1	1.593	3.269	2.986	1.271	7.485
GCF_000973525.1	2.657	1.013	0.559	5.155	6.781
GCF_000973545.1	1.151	3.121	2.963	0.915	7.778
GCF_000973625.1	0.790	11.244	5.800	3.736	14.211
GCF_000973705.1	2.507	5.529	3.032	1.064	8.494
GCF_000973725.1	-0.965	2.654	3.995	4.065	12.402
GCF_000974425.1	-0.528	3.341	3.616	3.584	15.789
GCF_000980815.1	-1.294	0.591	3.236	3.112	8.719
GCF_000980835.1	-0.491	-0.837	3.564	3.182	7.293
GCF_000981505.1	1.122	5.751	4.257	4.328	12.395
GCF_000981525.1	0.192	1.971	1.338	0.482	3.213
GCF_000981545.1	5.241	14.911	4.319	7.267	15.897
GCF_000981585.1	2.773	7.973	6.090	3.848	14.440
GCF_000981765.1	-0.294	2.171	2.776	4.103	11.486
GCF_000981785.1	2.767	10.847	7.153	3.248	15.756
GCF_000981805.1	2.551	7.626	3.033	7.519	14.524
GCF_000982715.1	1.641	3.255	3.452	2.494	14.583
GCF_000987835.1	5.117	4.782	2.771	7.088	13.071
GCF_000988065.1	-0.749	0.003	0.010	-0.177	0.139
GCF_000988565.1	-0.635	2.304	3.727	5.131	15.802
GCF_000993785.2	0.512	3.239	3.454	2.241	15.051
GCF_000993805.1	7.022	8.028	0.300	0.749	6.249
GCF_000993825.1	3.709	5.739	5.485	3.739	13.267
GCF_001005905.1	2.182	0.154	3.838	3.424	10.708
GCF_001006005.1	2.343	5.400	3.886	6.490	15.918
GCF_001006045.1	7.615	32.310	2.129	5.091	9.656
GCF_001007875.1	9.345	20.340	5.472	8.942	15.953
GCF_001007935.1	0.633	5.741	3.242	8.222	14.624
GCF_001007995.1	0.520	2.670	3.906	3.629	13.793
GCF_001008165.2	-1.655	2.006	3.904	6.128	14.520
GCF_001010285.1	0.090	4.780	3.849	2.375	13.483
GCF_001010785.1	0.735	3.832	3.362	5.650	16.008
GCF_001010805.1	1.530	2.520	3.915	6.688	12.061
GCF_001011035.1	-0.421	3.581	3.373	2.287	14.685
GCF_001011055.1	4.210	5.720	1.670	5.013	12.752
GCF_001011115.1	2.260	7.651	1.316	1.260	8.210
GCF_001011155.1	0.747	4.766	3.633	7.084	15.781
GCF_001017435.1	-0.936	3.611	4.600	5.982	16.383
GCF_001017655.1	1.771	1.886	0.817	0.639	5.312
GCF_001020955.1	5.169	6.388	3.555	3.909	14.351
GCF_001020985.1	-1.205	0.410	3.036	3.356	9.512
GCF_001021025.1	-1.425	0.357	3.986	3.408	9.082
GCF_001021045.1	1.101	1.877	3.832	2.990	9.479
GCF_001021065.1	2.622	1.647	2.789	2.533	11.317
GCF_001021085.1	0.226	0.332	1.615	0.688	6.278
GCF_001021385.1	0.414	3.721	3.946	2.352	15.906
GCF_001021935.1	-1.853	3.307	3.569	4.505	14.955
GCF_001021975.1	-0.294	1.403	2.013	2.872	12.106
GCF_001022135.1	1.871	7.583	4.835	2.094	15.470
GCF_001022155.1	2.084	5.480	2.746	7.999	15.331
GCF_001023575.1	0.624	8.603	3.815	3.004	14.078
GCF_001025195.1	1.030	0.668	1.413	0.230	2.859
GCF_001025215.1	0.858	0.578	1.616	0.230	3.768
GCF_001026985.1	1.509	5.474	3.003	6.604	15.415
GCF_001027025.1	3.342	5.826	0.088	4.083	6.141
GCF_001027285.1	0.456	3.229	3.319	5.131	16.822
GCF_001027545.1	2.783	4.998	3.593	0.938	7.468
GCF_001028085.1	2.328	2.604	3.827	4.021	12.153
GCF_001028625.1	-2.477	0.661	2.880	4.334	12.829
GCF_001028645.1	1.565	1.082	2.432	1.512	8.633
GCF_001028665.1	-0.507	3.594	4.299	4.703	16.631
GCF_001028705.1	0.149	3.162	4.379	7.503	15.230
GCF_001029105.3	1.830	4.877	3.565	4.784	16.514
GCF_001029265.1	0.097	-0.486	0.006	0.931	0.854
GCF_001038625.1	2.731	19.662	4.493	1.115	10.717
GCF_001042405.1	-1.195	0.845	0.779	-0.135	1.553
GCF_001042635.1	0.370	0.511	1.641	0.289	3.548
GCF_001042675.1	0.175	-0.382	0.940	-0.119	1.872
GCF_001042695.1	0.245	-0.493	0.794	0.104	1.717
GCF_001042715.1	3.242	15.726	4.387	2.229	9.000
GCF_001046955.1	4.709	5.568	3.547	6.404	16.391
GCF_001047675.1	2.139	4.514	2.800	6.502	15.222
GCF_001050115.1	1.536	2.392	4.043	3.911	10.342
GCF_001050135.1	-0.195	2.445	3.212	5.517	10.574
GCF_001050435.1	0.330	0.770	-0.396	-0.611	2.669
